Id,Prompts
0,Examine the question and provided background to gain insight. Compose an answer to the query that applies related notions from the context without replication or paraphrase of the given text.
1,"Carefully review the question and context, and develop a conceptual model of the scenario presented. Respond to the question by applying the model you derived from comprehending the context, without reproducing text from the context."
2,"Analyze the question and context input to deduce the implicit or explicit goal that needs to be accomplished. Draw upon concepts, principles or strategies from the context to inform a self-contained response that achieves the goal, without replicating any elements of the question or context verbatim."
3,"Focus on comprehending the core issue or topic based on the inputs provided. Then formulate a novel, self-contained response speaking to the heart of the matter, while ensuring your output does not substantially reuse or closely mirror the question or context text."
4,"Analyze the question and context, and synthesize an original response to the question using your comprehension without restating any verbatim excerpts."
5,"A question and context are given. Read both fully, then answer the question independently based on your understanding, without restating specifics from the context."
6,Read the provided question and context carefully to understand the scenario. Consider possible ways to logically connect relevant information from the context to answer the question without directly copying. Your response should demonstrate your understanding of the scenario while avoiding plagiarism.
7,"Read the question and context provided, and respond by generating a reply that answers the question based on the context given, without directly copying or paraphrasing any of the text."
8,"Derive the fundamental issue and intended solution from the inputs and outputs. Then provide a step-by-step process the AI could follow to address the matter by responding in a way aligned with the objectives inferred, without referring directly to the wording or instances in any of the provided text segments."
9,"Focus on the underlying concepts rather than surface details. Summarize the core connection between the starting point and endpoint, and suggest a strategy for getting from one to the other through inference."
10,Analyze the question and context and identify the underlying issues or considerations implied. Then synthesize an original response that offers a perspective on those issues to help the questioner while avoiding direct reuse of details from the input text.
11,"Examine the question and provided background details. Synthesize this information to craft a new, self-contained answer that guides the user helpfully without replication."
12,"Study the question, context and desired output. Develop a generalized one sentence process for addressing this prompt utilizing the given materials while avoiding direct use of the examples."
13,"Read the provided question and context, then analyze the outputs to understand what type of calculation or steps are needed to arrive at the given outputs based on the inputs. Without directly copying from or referring to any specifics in the inputs, propose a general approach that could solve this type of task."
14,Delve deeply into the question and context to build an informed model of the topic under discussion. Distill the context down to its essential arguments and standpoints related to answering the question. Then craft an original response to the question alone based on the generalized understanding developed.
15,"Read the question and context provided, and generate a response that answers the question using information and concepts discussed in the context without directly copying or summarizing any of the text."
16,"Read the provided context and examone the question being asked. Think carefully about the key details and overall meaning provided. Then consider how you can answer the question using only information from the context, without copying any of the context verbatim."
17,"Carefully read the provided question and context to understand what is being asked and the relevant details that could help answer it. Synthesize how the context supports addressing the question, then generate an answer to perform the requested task using your own words and structure, without directly restating anything from the inputs."
18,"Read and comprehend the question and context, then apply deductive reasoning to determine the crux of what needs answering. Develop a step-by-step process explanation as your output, addressing this core focus while ensuring no direct text reuse from the inputs."
19,You have been given a question to answer along with additional contextual information that can help inform your response. Please answer the question at hand while avoiding direct utilization of the context in your output.
20,"Read the question and context provided, and generate a response that answers the question using details from the context without directly copying. Do not include any specifics from the test cases in your response."
